127.0.0.1, 2015-01-30 13:38:36, POST, /, HTTP/1.1, 500, 0.085238
127.0.0.1, 2015-01-30 13:38:36, GET, /results, HTTP/1.1, 200, 0.059437
127.0.0.1, 2015-01-30 13:38:36, POST, /, HTTP/1.1, 500, 0.140197
127.0.0.1, 2015-01-30 13:38:38, GET, /admin/default/ticket/psim2web2py/127.0.0.1.2015-01-30.13-38-35.f0749ed8-d5a3-4842-a0c2-909c86212363, HTTP/1.1, 200, 0.129959
127.0.0.1, 2015-01-30 13:38:38, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.001024
127.0.0.1, 2015-01-30 13:38:38, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2015-01-30 13:40:39, GET, /, HTTP/1.1, 200, 0.083643
127.0.0.1, 2015-01-30 13:40:39, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000670
127.0.0.1, 2015-01-30 13:40:43, POST, /, HTTP/1.1, 303, 0.028557
127.0.0.1, 2015-01-30 13:40:43, GET, /results, HTTP/1.1, 200, 0.036748
127.0.0.1, 2015-01-30 13:40:43, POST, /, HTTP/1.1, 500, 0.121194
127.0.0.1, 2015-01-30 13:40:43, POST, /, HTTP/1.1, 500, 0.130397
127.0.0.1, 2015-01-30 13:40:43, GET, /psim2web2py/static/js/share.js, HTTP/1.1, 304, 0.000782
127.0.0.1, 2015-01-30 13:40:45, GET, /results, HTTP/1.1, 200, 0.016617
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/css/calendar.css, HTTP/1.1, 304, 0.002898
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/js/jquery.js, HTTP/1.1, 304, 0.004272
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/js/calendar.js, HTTP/1.1, 304, 0.000505
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/js/web2py.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/css/web2py.css, HTTP/1.1, 304, 0.000363
127.0.0.1, 2015-01-30 13:40:45, GET, /psim2web2py/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000461
